13685131,94504727,1458
15790741,94504727,1243
78788616,94504727,1469
15790741,94504727,1524
94746638,94504727,1233
13685131,94504727,1388
15790741,94504727,1386
13685131,94504727,1286
13685131,94504727,1282
15790741,94504727,1304
13685131,94504727,1284
13685131,94504727,1376
13685131,94504727,1384
15790741,94504727,1445
15790741,94504727,1207
15790741,94504727,1508
13685131,94504727,1364
99460443,94504727,1203
94746638,94504727,1773
78788616,94504727,1732
73409221,94504727,1399
15790741,94504727,1402
15790741,94504727,1214
73409221,94504727,1397
15790741,94504727,1296
13685131,94504727,1421
13685131,94504727,1212
73409221,94504727,1262
15790741,94504727,1280
94746638,94504727,1373
78788616,94504727,1547
13685131,94504727,1321
15790741,94504727,1273
13685131,94504727,1415
78788616,94504727,1730
15790741,94504727,1217
78788616,94504727,1874
15790741,94504727,1378
78788616,94504727,1873
15790741,94504727,1235
43446216,94504727,1332
43446216,94504727,1315
13685131,94504727,1237
13685131,94504727,1343
15790741,94504727,1329
94746638,94504727,1278
99460443,94504727,1234
81180526,94504727,1516
94746638,94504727,1844
15790741,94504727,1359
13685131,94504727,1298
73409221,94504727,1263
15790741,94504727,1294
13685131,94504727,1371
78788616,94504727,1437
15790741,94504727,1269
15790741,94504727,1375
13685131,94504727,1342
94746638,94504727,1438
15790741,94504727,1545
94746638,94504727,1380
78788616,94504727,1854
94746638,94504727,1231
78788616,94504727,1871
15790741,94504727,1327
78788616,94504727,1530
94746638,94504727,1809
73409221,94504727,1310
15790741,94504727,1268
15790741,94504727,1407
69232390,94504727,1870
94746638,94504727,1753
15790741,94504727,1358
15790741,94504727,1295
13685131,94504727,1300
94746638,94504727,1301
15790741,94504727,1361
15790741,94504727,1205
99460443,94504727,1204
73409221,94504727,1311
15790741,94504727,1374
15790741,94504727,1406
78788616,94504727,1441
15790741,94504727,1316
15790741,94504727,1632
15790741,94504727,1725
15790741,94504727,1242
15790741,94504727,1611
13685131,94504727,1377
13685131,94504727,1244
78788616,94504727,1772
15790741,94504727,1232
15790741,94504727,1857
94746638,94504727,1470
78788616,94504727,1877
78788616,94504727,1459
43446216,94504727,1309
13685131,94504727,1206
15790741,94504727,1365
15790741,94504727,1385
15790741,94504727,1389
94746638,94504727,1418
13685131,94504727,1297
8038732,94504727,1201
15790741,94504727,1218
13685131,94504727,1285
15790741,94504727,1305
99460443,94504727,1209
78788616,94504727,1442
73409221,94504727,1398
15790741,94504727,1405
13685131,94504727,1289
94746638,94504727,1450
94746638,94504727,1776
94746638,94504727,1216
15790741,94504727,1379
13685131,94504727,1370
13685131,94504727,1444
15790741,94504727,1199
43446216,94504727,1307
13685131,94504727,1291
99460443,94504727,1436
15790741,94504727,1240
69232390,94504727,1420
78788616,94504727,1519
15790741,94504727,1352
81180526,94504727,1334
13685131,94504727,1341
43446216,94504727,1335
13685131,94504727,1239
78788616,94504727,1413
73409221,94504727,1261
13685131,94504727,1414
78788616,94504727,1830
15790741,94504727,1319
15790741,94504727,1275
15790741,94504727,1276
73409221,94504727,1264
15790741,94504727,1372
15790741,94504727,1303
15790741,94504727,1302
73409221,94504727,1400
78788616,94504727,1717
13685131,94504727,1356
99460443,94504727,1290
13685131,94504727,1351
15790741,94504727,1318
31569905,94504727,1777
78788616,94504727,1862
15790741,94504727,1416
94746638,94504727,1815
13685131,94504727,1322
94746638,94504727,1324
99460443,94504727,1368
15790741,94504727,1293
8038732,94504727,1200
15790741,94504727,1401
94746638,94504727,1308
13685131,94504727,1448
15790741,94504727,1274
78788616,94504727,1880
78788616,94504727,1881
78788616,94504727,1798
15790741,94504727,1325
15790741,94504727,1292
94746638,94504727,1258
15790741,94504727,1211
13685131,94504727,1287
73409221,94504727,1369
81180526,94504727,1411
